depId, depCount
org.apache.hadoop:hadoop-common-instrumented, 2
org.wildfly:wildfly-jpa-spi, 1
info.kwarc.sally4:mhw-base, 3
org.deephacks.lmdbjni:lmdbjni, 2
net.fortytwo:sparql-osc, 2
org.apache.geronimo.configs:openejb-deployer, 1
org.swixml:swixml-examples-wizard, 1
${project.groupId}:net.officefloor.woof, 1
org.apache.marmotta:marmotta-ldcache-common, 2
com.fasterxml.jackson.core:jackson-core, 5088
junit:junit, 16133
org.eclipse.jetty:jetty-nosql, 3
org.lifty:lifty-engine_2.8.1, 1
org.apache.servicemix.bundles:org.apache.servicemix.bundles.xmlschema, 1
org.rhq:rhq-scripting-python, 1
org.clojure:core.incubator, 5
de.sciss:treetable-scala_2.11, 3
de.learnlib:learnlib-reuse, 1
org.sakaiproject:sakai-postem-hbm, 1
com.hack23.cia:model.external.riksdagen.utskottsforslag.impl, 6
org.activiti:activiti-bpmn-model, 39
com.github.scala-incubator.io:scala-io-file_2.10.0-RC1, 1
org.apache.geronimo.framework:geronimo-cli, 73
org.apache.geronimo.specs:geronimo-validation_1.0_spec, 1019
org.apache.axiom:axiom-impl, 1
${project.groupId}:domain-core-api, 1
org.scalacheck:scalacheck_2.9.1-1, 1
org.apache.activemq:activeio-core, 9
org.apache:lucene-stemmers, 1
org.jbpm:jbpm-flow-builder, 74
org.apache.archiva:archiva-lucene-consumers, 1
jboss.profiler.jvmti:jboss-profiler-jvmti, 80
org.jboss.forge.addon:resources, 60
org.molgenis:molgenis-data, 36
org.duracloud:reporter, 1
org.jibx.schema.org.opentravel._2013A:org.jibx.schema.org.opentravel._2013A.base.cruise, 3
${project.groupId}:qulice-codenarc, 1
ant-contrib:ant-contrib, 16590
org.apache.maven.continuum:data-management-api, 3
org.apache.clerezza:platform.typerendering.ontologies, 13
de.weltraumschaf.commons:validate, 5
de.sciss:treetable-scala_2.10, 5
org.glassfish.main.admin:monitoring-core, 25
com.vmware:vcloud-rest-api-schemas, 1
${project.groupId}:org.rwshop.swing.animation, 1
com.tourapp.tour:com.tourapp.tour.message, 10
org.activiti:activiti-explorer, 3
org.javabits.yar:yar-guice, 2
${groupId}:apacheds-xdbm-search, 2
com.twitter:finagle-redis_2.9.2, 1
com.cisco.oss.foundation:http-client-apache, 7
org.codehaus.btm:btm, 94
org.codehaus.httpcache4j:httpcache4j-storage-api, 3
org.jgrasstools:jgt-jgrassgears, 2
it.uniroma1.dis.wsngroup.gexf4j:gexf4j, 1
com.ardor3d:ardor3d-awt, 1
net.liftweb:lift-testkit_2.8.2, 6
net.liftweb:lift-testkit_2.8.1, 9
play:play_2.9.1, 4
net.liftweb:lift-testkit_2.8.0, 7
org.jboss.logging:jboss-logging-spi, 2215
org.apache.jmeter:ApacheJMeter_mongodb, 1
org.entando.entando.bundles.misc:entando-misc-html5-essentials, 5
org.kevoree.corelibrary.arduino:org.kevoree.library.arduino.nodeType, 1
org.jvnet.ogc:sps-common, 1
org.kitesdk:kite-data-hive, 2
uk.ac.ed.ph.snuggletex:snuggletex-jeuclid, 44
com.almende.eve:eve-transport-http, 1
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml, 1095
${project.groupId}:cadmium-search, 2
org.hibernate:hibernate-jmx, 1
org.javolution:javolution-core-java, 1
com.cedarsoft.serialization:neo4j, 1
sk.seges.corpis:corpis-domain-api, 1
ru.itbasis.utils:core-utils, 1
com.mtvnet.boxspring.modules:boxspring-http-objects-holder, 1
${project.groupId}:remote-system-connector-api, 1
net.sourceforge.nekohtml:nekohtml, 365
au.csiro:snorocket-owlapi, 1
net.databinder:dispatch-mime_2.8.0.Beta1, 1
com.gigaspaces:gigaspaces-ce, 1
net.sf.jguard:jguard-core, 6
com.googlecode.gwtphonegap:gwtphonegap, 2
org.shoal:shoal-cache, 1
${project.groupId}:nof-persistor, 1
com.github.lkoskela.jsptest:jsptest-framework, 4
org.commonjava.aprox:aprox-subsys-infinispan, 1
${akka.group}:akka-remote, 7
exo:exoplatform.jsf.core-components, 4
org.ow2.bundles:ow2-util-ee-metadata-common-impl, 51
${project.groupId}:org.abstractform.binding, 1
com.googlecode.jeeunit:jeeunit-glassfish, 1
org.ldaptive:ldaptive, 9
${project.groupId}:OpenPatricianUtilities, 8
dk.eobjects.metamodel:MetaModel-jdbc, 3
org.apache.felix:org.apache.felix.http.bundle, 1
${project.groupId}:wdtk-dumpfiles, 1
org.jboss.weld.osgi.examples:weld-osgi-paint-api, 4
org.clamshellcli:clamshell-api, 1
${pom.groupId}:jet-hypothesis, 1
org.atomserver.abdera:abdera-extensions-main, 1
com.amazonaws:aws-java-sdk-sts, 135
org.sonatype.nexus:nexus-utils, 17
org.apache.geronimo.devtools:org.apache.geronimo.st.core, 6
batik:batik-rasterizer, 9
net.derquinse:derquinse-common-base, 12
org.eclipse.emf.mapping:ecore2xml, 10
com.evasion:framework-test, 1
${project.groupId}:ak47-core, 1
${project.groupId}:org.apache.onami.spi.modules, 1
org.apache.jclouds.labs:hostedchef, 1
org.dishevelled:dsh-swarm, 1
org.jboss.errai:errai-codegen-gwt, 351
org.openengsb.wrapped:com.google.gdata, 2
com.github.myst3r10n:moreswing-swing-i18n_2.10, 1
org.cruxframework:crux-runtime, 3
org.geomajas.plugin:geomajas-plugin-rasterizing-gwt, 7
