id,comment,patterns
com.google.errorprone:error_prone_core,,
com.spotify:docker-client,,
io.prometheus:simpleclient,,
org.apache.avro:avro-tools,,
org.apache.bookkeeper:bookkeeper-server,,
org.apache.servicemix.bundles:org.apache.servicemix.bundles.elasticsearch,,
org.cogchar:org.cogchar.bundle.core,,
org.deephacks.cached:cached,,throw
org.eclipse.scalamodules:scalamodules-scala-library,,throw
org.glassfish.tyrus.ext:tyrus-monitoring-jmx,,
org.greencheek.related:related-domain,,
org.infinispan:infinispan-remote,,
org.metatype.sxc:sxc-core,,class
org.ops4j.pax.wicket:pax-wicket-service,,
org.pitest:pitest,,
org.robovm:robovm-rt,,
org.subscript-lang:scala-library,,
org.tomitribe:tomitribe-util,,
ai.h2o:h2o-algos,,
co.cask.cdap:cdap-cli,,
co.paralleluniverse:quasar-actors,,
com.addthis:basis,,
com.alibaba.citrus:citrus-webx-all,,
com.carrotsearch:java-sizeof,,
com.couchbase.client:core-io,,throw
com.github.fakemongo:fongo,,
com.google.appengine:appengine-remote-api,,
com.google.appengine:appengine-testing,,
com.sandinh:spray-can,,
com.seitenbau.testing:sb-junitrecorder-core,,throw
com.snappydb:snappydb-api,,
com.stratio.cassandra:cassandra-all,,
com.sun.grizzly:grizzly-cometd-webserver,,
com.thinkaurelius.thrift:thrift-server,,
com.typesafe.akka:akka-osgi_2.11.0-M3,,
io.kamon:kamon-core_2.10,,
io.kamon:kamon-core_2.11,,
net.openhft:chronicle,,
net.orfjackal.retrolambda:retrolambda,,
net.roboconf:roboconf-plugin-api,,
org.apache.storm:storm-core,,
org.avaje.ebeanorm:avaje-ebeanorm,,
org.batoo.jpa:batoo-common,,
org.bitbucket.mstrobel:procyon-core,,class
org.caffinitas.ohc:ohc-core,,
org.choco-solver:choco-solver,,
org.codehaus.jsr166-mirror:jsr166,,throw
org.codehaus:mvel,,
org.deephacks.lmdbjni:lmdbjni,,
org.deephacks:graphene-core,,
org.dspace.dependencies:dspace-perst,,
org.ehcache.modules:ehcache-impl,,
org.immutables:generate-tool,,
org.infinispan:infinispan-embedded,,
org.jboss.forge:forge-jboss-modules,,monitor
org.jboss.forge:jboss-modules,,monitor
org.kitesdk:kite-data-hbase,,
org.kitesdk:kite-data-hive,,
org.onosproject:onlab-thirdparty,,
org.onosproject:onos-of-api,,
org.sisioh:java-dddbase,,
org.xerial.larray:larray-buffer,,
org.xerial:larray-buffer,,
co.cask.cdap:cdap-flume,,
com.atlassian.clover:clover,,
