className, methodName, methodDesc, owner, name, desc, groupId, artifactId, version, size, ext
java/nio/DirectFloatBufferS, get, (I)F, sun/misc/Unsafe, getInt, (J)I, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectFloatBufferS, put, (F)Ljava/nio/FloatBuffer;, sun/misc/Unsafe, putInt, (JI)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectFloatBufferS, put, (IF)Ljava/nio/FloatBuffer;, sun/misc/Unsafe, putInt, (JI)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectFloatBufferS, put, (Ljava/nio/FloatBuffer;)Ljava/nio/FloatBuffer;, sun/misc/Unsafe, copyMemory, (JJJ)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectFloatBufferS, compact, ()Ljava/nio/FloatBuffer;, sun/misc/Unsafe, copyMemory, (JJJ)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectFloatBufferS, <clinit>, ()V, sun/misc/Unsafe, arrayBaseOffset, (Ljava/lang/Class;)I, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectFloatBufferU, get, ()F, sun/misc/Unsafe, getFloat, (J)F, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectFloatBufferU, get, (I)F, sun/misc/Unsafe, getFloat, (J)F, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectFloatBufferU, put, (F)Ljava/nio/FloatBuffer;, sun/misc/Unsafe, putFloat, (JF)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectFloatBufferU, put, (IF)Ljava/nio/FloatBuffer;, sun/misc/Unsafe, putFloat, (JF)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectFloatBufferU, put, (Ljava/nio/FloatBuffer;)Ljava/nio/FloatBuffer;, sun/misc/Unsafe, copyMemory, (JJJ)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectFloatBufferU, compact, ()Ljava/nio/FloatBuffer;, sun/misc/Unsafe, copyMemory, (JJJ)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectFloatBufferU, <clinit>, ()V, sun/misc/Unsafe, arrayBaseOffset, (Ljava/lang/Class;)I, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectIntBufferS, get, ()I, sun/misc/Unsafe, getInt, (J)I, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectIntBufferS, get, (I)I, sun/misc/Unsafe, getInt, (J)I, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectIntBufferS, put, (I)Ljava/nio/IntBuffer;, sun/misc/Unsafe, putInt, (JI)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectIntBufferS, put, (II)Ljava/nio/IntBuffer;, sun/misc/Unsafe, putInt, (JI)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectIntBufferS, put, (Ljava/nio/IntBuffer;)Ljava/nio/IntBuffer;, sun/misc/Unsafe, copyMemory, (JJJ)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectIntBufferS, compact, ()Ljava/nio/IntBuffer;, sun/misc/Unsafe, copyMemory, (JJJ)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectIntBufferS, <clinit>, ()V, sun/misc/Unsafe, arrayBaseOffset, (Ljava/lang/Class;)I, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectIntBufferU, get, ()I, sun/misc/Unsafe, getInt, (J)I, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectIntBufferU, get, (I)I, sun/misc/Unsafe, getInt, (J)I, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectIntBufferU, put, (I)Ljava/nio/IntBuffer;, sun/misc/Unsafe, putInt, (JI)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectIntBufferU, put, (II)Ljava/nio/IntBuffer;, sun/misc/Unsafe, putInt, (JI)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectIntBufferU, put, (Ljava/nio/IntBuffer;)Ljava/nio/IntBuffer;, sun/misc/Unsafe, copyMemory, (JJJ)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectIntBufferU, compact, ()Ljava/nio/IntBuffer;, sun/misc/Unsafe, copyMemory, (JJJ)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectIntBufferU, <clinit>, ()V, sun/misc/Unsafe, arrayBaseOffset, (Ljava/lang/Class;)I, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectLongBufferS, get, ()J, sun/misc/Unsafe, getLong, (J)J, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectLongBufferS, get, (I)J, sun/misc/Unsafe, getLong, (J)J, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectLongBufferS, put, (J)Ljava/nio/LongBuffer;, sun/misc/Unsafe, putLong, (JJ)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectLongBufferS, put, (IJ)Ljava/nio/LongBuffer;, sun/misc/Unsafe, putLong, (JJ)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectLongBufferS, put, (Ljava/nio/LongBuffer;)Ljava/nio/LongBuffer;, sun/misc/Unsafe, copyMemory, (JJJ)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectLongBufferS, compact, ()Ljava/nio/LongBuffer;, sun/misc/Unsafe, copyMemory, (JJJ)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectLongBufferS, <clinit>, ()V, sun/misc/Unsafe, arrayBaseOffset, (Ljava/lang/Class;)I, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectShortBufferS, get, ()S, sun/misc/Unsafe, getShort, (J)S, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectShortBufferS, get, (I)S, sun/misc/Unsafe, getShort, (J)S, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectShortBufferS, put, (S)Ljava/nio/ShortBuffer;, sun/misc/Unsafe, putShort, (JS)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectShortBufferS, put, (IS)Ljava/nio/ShortBuffer;, sun/misc/Unsafe, putShort, (JS)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectShortBufferS, put, (Ljava/nio/ShortBuffer;)Ljava/nio/ShortBuffer;, sun/misc/Unsafe, copyMemory, (JJJ)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectShortBufferS, compact, ()Ljava/nio/ShortBuffer;, sun/misc/Unsafe, copyMemory, (JJJ)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectShortBufferS, <clinit>, ()V, sun/misc/Unsafe, arrayBaseOffset, (Ljava/lang/Class;)I, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectShortBufferU, get, ()S, sun/misc/Unsafe, getShort, (J)S, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectShortBufferU, get, (I)S, sun/misc/Unsafe, getShort, (J)S, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectShortBufferU, put, (S)Ljava/nio/ShortBuffer;, sun/misc/Unsafe, putShort, (JS)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectShortBufferU, put, (IS)Ljava/nio/ShortBuffer;, sun/misc/Unsafe, putShort, (JS)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectShortBufferU, put, (Ljava/nio/ShortBuffer;)Ljava/nio/ShortBuffer;, sun/misc/Unsafe, copyMemory, (JJJ)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectShortBufferU, compact, ()Ljava/nio/ShortBuffer;, sun/misc/Unsafe, copyMemory, (JJJ)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/nio/DirectShortBufferU, <clinit>, ()V, sun/misc/Unsafe, arrayBaseOffset, (Ljava/lang/Class;)I, jdk8, jdk8, rt.jar@1.8, 1, jar
java/util/concurrent/CompletableFuture, internalComplete, (Ljava/lang/Object;)Z, sun/misc/Unsafe, compareAndSwapObject, (Ljava/lang/Object;JLjava/lang/Object;Ljava/lang/Object;)Z, jdk8, jdk8, rt.jar@1.8, 1, jar
java/util/concurrent/CompletableFuture, casStack, (Ljava/util/concurrent/CompletableFuture$Completion;Ljava/util/concurrent/CompletableFuture$Completion;)Z, sun/misc/Unsafe, compareAndSwapObject, (Ljava/lang/Object;JLjava/lang/Object;Ljava/lang/Object;)Z, jdk8, jdk8, rt.jar@1.8, 1, jar
java/util/concurrent/CompletableFuture, tryPushStack, (Ljava/util/concurrent/CompletableFuture$Completion;)Z, sun/misc/Unsafe, compareAndSwapObject, (Ljava/lang/Object;JLjava/lang/Object;Ljava/lang/Object;)Z, jdk8, jdk8, rt.jar@1.8, 1, jar
java/util/concurrent/CompletableFuture, completeNull, ()Z, sun/misc/Unsafe, compareAndSwapObject, (Ljava/lang/Object;JLjava/lang/Object;Ljava/lang/Object;)Z, jdk8, jdk8, rt.jar@1.8, 1, jar
java/util/concurrent/CompletableFuture, completeValue, (Ljava/lang/Object;)Z, sun/misc/Unsafe, compareAndSwapObject, (Ljava/lang/Object;JLjava/lang/Object;Ljava/lang/Object;)Z, jdk8, jdk8, rt.jar@1.8, 1, jar
java/util/concurrent/CompletableFuture, completeThrowable, (Ljava/lang/Throwable;)Z, sun/misc/Unsafe, compareAndSwapObject, (Ljava/lang/Object;JLjava/lang/Object;Ljava/lang/Object;)Z, jdk8, jdk8, rt.jar@1.8, 1, jar
java/util/concurrent/CompletableFuture, completeThrowable, (Ljava/lang/Throwable;Ljava/lang/Object;)Z, sun/misc/Unsafe, compareAndSwapObject, (Ljava/lang/Object;JLjava/lang/Object;Ljava/lang/Object;)Z, jdk8, jdk8, rt.jar@1.8, 1, jar
java/util/concurrent/CompletableFuture, completeRelay, (Ljava/lang/Object;)Z, sun/misc/Unsafe, compareAndSwapObject, (Ljava/lang/Object;JLjava/lang/Object;Ljava/lang/Object;)Z, jdk8, jdk8, rt.jar@1.8, 1, jar
java/util/concurrent/CompletableFuture, lazySetNext, (Ljava/util/concurrent/CompletableFuture$Completion;Ljava/util/concurrent/CompletableFuture$Completion;)V, sun/misc/Unsafe, putOrderedObject, (Ljava/lang/Object;JLjava/lang/Object;)V, jdk8, jdk8, rt.jar@1.8, 1, jar
java/util/concurrent/CompletableFuture, <clinit>, ()V, sun/misc/Unsafe, getUnsafe, ()Lsun/misc/Unsafe;, jdk8, jdk8, rt.jar@1.8, 1, jar
